District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Source URL,Office type,Office type,Address
Chilliwack,MLA,John Martin,John,Martin,,British Columbia Liberal Party,john.martin.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Martin-John,legislature,constituency,"1-45953 Airport Road, Chilliwack, BC V2P 1A3"
Chilliwack-Kent,MLA,Laurie Throness,Laurie,Throness,,British Columbia Liberal Party,laurie.throness.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Throness-Laurie,legislature,constituency,"10-7300 Vedder Road, Chilliwack, BC V2R 4G6"
Columbia River-Revelstoke,MLA,Doug Clovechok,Doug,Clovechok,,British Columbia Liberal Party,doug.clovechok.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Clovechok-Doug,legislature,constituency,"362 Wallinger Ave., Kimberley , BC V1A 1Z4"
Coquitlam-Burke Mountain,MLA,Joan Isaacs,Joan,Isaacs,,British Columbia Liberal Party,joan.isaacs.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Isaacs-Joan,legislature,constituency,"#510 - 2950 Glen Drive, Coquitlam, BC V3B 0J1"
Coquitlam-Maillardville,MLA,Selina Robinson,Selina,Robinson,,New Democratic Party of British Columbia,selina.robinson.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Robinson-Selina,legislature,constituency,"102 - 1108 Austin Ave., Coquitlam, BC V3K 3P5"
Courtenay-Comox,MLA,Ronna-Rae Leonard,Ronna-Rae,Leonard,,New Democratic Party of British Columbia,ronna-rae.leonard.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Leonard-Ronna-Rae,legislature,constituency,"437 5th St., Courtenay, BC V9N 1J7,"
Cowichan Valley,MLA,Sonia Furstenau,Sonia,Furstenau,,BC Green Party,sonia.furstenau.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Furstenau-Sonia,legislature,constituency,"164 Station St., Duncan, BC V9L 1M7"
Delta North,MLA,Ravi Kahlon,Ravi,Kahlon,,New Democratic Party of British Columbia,ravi.kahlon.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Kahlon-Ravi,legislature,constituency,"8350 112th Street, Delta, BC V4C 7A2"
Delta South,MLA,Ian Paton,Ian,Paton,,British Columbia Liberal Party,ian.paton.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Paton-Ian,legislature,constituency,"4805 Delta Street, Delta, BC V4K 2T7"
Esquimalt-Metchosin,MLA,Mitzi Dean,Mitzi,Dean,,New Democratic Party of British Columbia,mitzi.dean.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Dean-Mitzi,legislature,constituency,"104 - 1497 Admirals Road, Victoria, BC V9A 2P8"
Fraser-Nicola,MLA,Jackie Tegart,Jackie,Tegart,,British Columbia Liberal Party,jackie.tegart.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Tegart-Jackie,legislature,constituency,"PO Box 279, 405 Railway Avenue, Ashcroft, BC V0K 1A0"
Kamloops-North Thompson,MLA,Peter Milobar,Peter,Milobar,,British Columbia Liberal Party,peter.milobar.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Milobar-Peter,legislature,constituency,"618B Tranquille Rd., Kamloops, BC V2B 3H6"
Kamloops-South Thompson,MLA,Todd Stone,Todd,Stone,,British Columbia Liberal Party,todd.stone.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Stone-Todd,legislature,constituency,"446 Victoria Street, Kamloops, BC V2C 2A7"
Kelowna West,MLA,Ben Stewart,Ben,Stewart,,British Columbia Liberal Party,Ben.Stewart.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Stewart-Ben,legislature,constituency,"Unit 3-2429 Dobbin Rd., West Kelowna, BC V4T 2L4"
Kelowna-Lake Country,MLA,Norm Letnick,Norm,Letnick,,British Columbia Liberal Party,norm.letnick.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Letnick-Norm,legislature,constituency,"101 - 330 Hwy 33 West, Kelowna, BC V1X 1X9"
Kelowna-Mission,MLA,Steve Thomson,Steve,Thomson,,British Columbia Liberal Party,steve.thomson.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Thomson-Steve,legislature,constituency,"102 - 2121 Ethel St., Kelowna, BC V1Y 2Z6"
Kootenay East,MLA,Tom Shypitka,Tom,Shypitka,,British Columbia Liberal Party,tom.shypitka.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Shypitka-Tom,legislature,constituency,"302-535 Victoria Ave., N., Cranbrook, BC V1C 6S3"
Kootenay West,MLA,Katrine Conroy,Katrine,Conroy,,New Democratic Party of British Columbia,katrine.conroy.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Conroy-Katrine,legislature,constituency,"2, 1006 3rd St., Castlegar, BC V1N 3X6"
Langford-Juan de Fuca,MLA,John Horgan,John,Horgan,,New Democratic Party of British Columbia,john.horgan.mla@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Horgan-John,legislature,constituency,"122 – 2806 Jacklin Road, Victoria, BC V9B 5A4"
Langley,MLA,Mary Polak,Mary,Polak,,British Columbia Liberal Party,mary.polak.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Polak-Mary,legislature,constituency,"102, 20611 Fraser Hwy., Langley, BC V3A 4G4"
Langley East,MLA,Rich Coleman,Rich,Coleman,,British Columbia Liberal Party,rich.coleman.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Coleman-Rich,legislature,constituency,"130 - 7888 200th Street, Langley, BC V2Y 3J4"
Maple Ridge-Mission,MLA,Bob D'Eith,Bob,D'Eith,,New Democratic Party of British Columbia,bob.deith.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/D'Eith-Bob,legislature,constituency,"102-23015 Dewdney Trunk Rd., Maple Ridge"
Maple Ridge-Pitt Meadows,MLA,Lisa Beare,Lisa,Beare,,New Democratic Party of British Columbia,lisa.beare.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Beare-Lisa,legislature,constituency,"104-20130 Lougheed Hwy., Maple Ridge, BC V2X 2P7"
Mid Island-Pacific Rim,MLA,Scott Fraser,Scott,Fraser,,New Democratic Party of British Columbia,scott.fraser.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Fraser-Scott,legislature,constituency,"3945B Johnston Rd., Port Alberni, BC V9Y 5N4"
Nanaimo,MLA,Sheila Malcolmson,Sheila,Malcolmson,,New Democratic Party of British Columbia,sheila.malcolmson.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Malcolmson-Sheila,legislature,constituency,"105-495 Dunsmuir Street, Nanaimo, BC V9R 6B9"
Nanaimo-North Cowichan,MLA,Doug Routley,Doug,Routley,,New Democratic Party of British Columbia,douglas.routley.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Routley-Doug,legislature,constituency,"PO Box 269, #1-16 High Street, Ladysmith"
Nechako Lakes,MLA,John Rustad,John,Rustad,,British Columbia Liberal Party,john.rustad.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Rustad-John,legislature,constituency,"PO Box 421, 183 First St., Vanderhoof, BC V0J 3A0"
Nelson-Creston,MLA,Michelle Mungall,Michelle,Mungall,,New Democratic Party of British Columbia,michelle.mungall.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Mungall-Michelle,legislature,constituency,"433 Josephine Street, Nelson, BC V1L 1W4"
New Westminster,MLA,Judy Darcy,Judy,Darcy,,New Democratic Party of British Columbia,judy.darcy.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Darcy-Judy,legislature,constituency,"301 - 625 Fifth Ave., New Westminster, BC V3M 1X4"
North Coast,MLA,Jennifer Rice,Jennifer,Rice,,New Democratic Party of British Columbia,jennifer.rice.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Rice-Jennifer,legislature,constituency,"290-309 2nd Avenue West, Prince Rupert, BC V8J 3T1"
North Island,MLA,Claire Trevena,Claire,Trevena,,New Democratic Party of British Columbia,claire.trevena.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Trevena-Claire,legislature,constituency,"908 Island Hwy., Campbell River, BC V9W 2C3"
North Vancouver-Lonsdale,MLA,Bowinn Ma,Bowinn,Ma,,New Democratic Party of British Columbia,bowinn.ma.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Ma-Bowinn,legislature,constituency,"50-221 West Esplanade, North Vancouver, BC V7M 3J3"
North Vancouver-Seymour,MLA,Jane Thornthwaite,Jane,Thornthwaite,,British Columbia Liberal Party,jane.thornthwaite.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Thornthwaite-Jane,legislature,constituency,"217 - 1233 Lynn Valley Rd., North Vancouver, BC V7J 0A1"
Oak Bay-Gordon Head,MLA,Andrew Weaver,Andrew,Weaver,,Independent,andrew.weaver.mla@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Weaver-Andrew,legislature,constituency,"219-3930 Shelbourne Street, Victoria, BC V8P 5P6"
Parksville-Qualicum,MLA,Michelle Stilwell,Michelle,Stilwell,,British Columbia Liberal Party,michelle.stilwell.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Stilwell-Michelle,legislature,constituency,"Unit 2B-1209 Island Highway East, Parksville, BC V9P 1R5"
Peace River North,MLA,Dan Davies,Dan,Davies,,British Columbia Liberal Party,dan.davies.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Davies-Dan,legislature,constituency,"10104 100 Street, Fort St. John, BC V1J 3Y7"
Peace River South,MLA,Mike Bernier,Mike,Bernier,,British Columbia Liberal Party,mike.bernier.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Bernier-Mike,legislature,constituency,"103 – 1100 Alaska Ave, Dawson Creek, BC V1G 4V8"
Penticton,MLA,Dan Ashton,Dan,Ashton,,British Columbia Liberal Party,dan.ashton.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Ashton-Dan,legislature,constituency,"210 - 300 Riverside Drive, Penticton, BC V2A 9C9"
Port Coquitlam,MLA,Mike Farnworth,Mike,Farnworth,,New Democratic Party of British Columbia,mike.farnworth.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Farnworth-Mike,legislature,constituency,"107A, 2748 Lougheed Hwy, Port Coquitlam, BC V3B 6P2"
Port Moody-Coquitlam,MLA,Rick Glumac,Rick,Glumac,,New Democratic Party of British Columbia,rick.glumac.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Glumac-Rick,legislature,constituency,"2708 St. Johns St., Port Moody, BC V3H 2B7"
Powell River-Sunshine Coast,MLA,Nicholas Simons,Nicholas,Simons,,New Democratic Party of British Columbia,nicholas.simons.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Simons-Nicholas,legislature,constituency,"109, 4675 Marine Ave., Powell River, BC V8A 2L2"
Prince George-Mackenzie,MLA,Mike Morris,Mike,Morris,,British Columbia Liberal Party,mike.morris.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Morris-Mike,legislature,constituency,"Unit 102 - 1023 Central Street West, Prince George"
Prince George-Valemount,MLA,Shirley Bond,Shirley,Bond,,British Columbia Liberal Party,shirley.bond.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Bond-Shirley,legislature,constituency,"1350 5th Ave., Prince George, BC V2L 3L4"
Richmond North Centre,MLA,Teresa Wat,Teresa,Wat,,British Columbia Liberal Party,teresa.wat.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Wat-Teresa,legislature,constituency,"300-8120 Granville Ave, Richmond, BC V6Y 1P3"
Richmond South Centre,MLA,Linda Reid,Linda,Reid,,British Columbia Liberal Party,linda.reid.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Reid-Linda,legislature,constituency,"130 - 8040 Garden City Rd., Richmond, BC V6Y 2N9"
Richmond-Queensborough,MLA,Jas Johal,Jas,Johal,,British Columbia Liberal Party,jas.johal.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Johal-Jas,legislature,constituency,"135-10880 No. 5 Rd, Richmond, BC V6W 0B3"
Richmond-Steveston,MLA,John Yap,John,Yap,,British Columbia Liberal Party,john.yap.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Yap-John,legislature,constituency,"115 - 4011 Bayview St., Richmond, BC V7E 0A4"
Saanich North and the Islands,MLA,Adam Olsen,Adam,Olsen,,BC Green Party,adam.olsen.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Olsen-Adam,legislature,constituency,"215-2506 Beacon Ave., Sidney, BC V8L 4T9"
Saanich South,MLA,Lana Popham,Lana,Popham,,New Democratic Party of British Columbia,lana.popham.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Popham-Lana,legislature,constituency,"260 – 4243 Glanford Avenue, Victoria, BC V8Z 4B9"
Shuswap,MLA,Greg Kyllo,Greg,Kyllo,,British Columbia Liberal Party,greg.kyllo.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Kyllo-Greg,legislature,constituency,"PO Box 607, Suite 202A-371 Alexander Street NE, Salmon Arm, BC V1E 4N7"
Skeena,MLA,Ellis Ross,Ellis,Ross,,British Columbia Liberal Party,ellis.ross.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Ross-Ellis,legislature,constituency,"104-4710 Lazelle Ave, Terrace, BC V5G 1T5"
Stikine,MLA,Doug Donaldson,Doug,Donaldson,,New Democratic Party of British Columbia,doug.donaldson.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Donaldson-Doug,legislature,constituency,"PO Box 227, 4345 Field St., Hazelton, BC V0J 1Y0"
Surrey South,MLA,Stephanie Cadieux,Stephanie,Cadieux,,British Columbia Liberal Party,stephanie.cadieux.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Cadieux-Stephanie,legislature,constituency,"206-15850 24th Avenue, Surrey, BC V3Z 0G1"
Surrey-Cloverdale,MLA,Marvin Hunt,Marvin,Hunt,,British Columbia Liberal Party,marvin.hunt.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Hunt-Marvin,legislature,constituency,"105 - 5738 175th Street, Surrey, BC V3S 4T7"
Surrey-Fleetwood,MLA,Jagrup Brar,Jagrup,Brar,,New Democratic Party of British Columbia,jagrup.brar.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Brar-Jagrup,legislature,constituency,"301A-15930 Fraser Hwy., Surrey, BC V4N 0X8"
Surrey-Green Timbers,MLA,Rachna Singh,Rachna,Singh,,New Democratic Party of British Columbia,rachna.singh.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Singh-Rachna,legislature,constituency,"100 - 9030 King George Blvd., Surrey, BC V3V 7Y3"
Surrey-Guildford,MLA,Garry Begg,Garry,Begg,,New Democratic Party of British Columbia,garry.begg.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Begg-Garry,legislature,constituency,"#201 – 15135 101 Ave, Surrey, BC V3R 7Z1"
Surrey-Newton,MLA,Harry Bains,Harry,Bains,,New Democratic Party of British Columbia,harry.bains.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Bains-Harry,legislature,constituency,"105-7327 137 Street, Surrey, BC V3W 1A4"
Surrey-Panorama,MLA,Jinny Sims,Jinny,Sims,,New Democratic Party of British Columbia,jinny.sims.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Sims-Jinny,legislature,constituency,"#204 14360 64th Ave, Surrey, BC V3W 1Z1"
Surrey-Whalley,MLA,Bruce Ralston,Bruce,Ralston,,New Democratic Party of British Columbia,bruce.ralston.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Ralston-Bruce,legislature,constituency,"10574 King George Boulevard, Surrey, BC V3T 2X3"
Vancouver-Fairview,MLA,George Heyman,George,Heyman,,New Democratic Party of British Columbia,george.heyman.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Heyman-George,legislature,constituency,"642 West Broadway, Vancouver, BC V5Z 1G1"
Vancouver-False Creek,MLA,Sam Sullivan,Sam,Sullivan,,British Columbia Liberal Party,sam.sullivan.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Sullivan-Sam,legislature,constituency,"201-1168 Hamilton Street, Vancouver, BC V6B 2S2"
Vancouver-Fraserview,MLA,George Chow,George,Chow,,New Democratic Party of British Columbia,george.chow.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Chow-George,legislature,constituency,"112-2609 East 49th Ave., Vancouver, BC V5S 1J9"
Vancouver-Hastings,MLA,Shane Simpson,Shane,Simpson,,New Democratic Party of British Columbia,shane.simpson.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Simpson-Shane,legislature,constituency,"2365 Hastings St. E., Vancouver, BC V5L 1V6"
Vancouver-Kensington,MLA,Mable Elmore,Mable,Elmore,,New Democratic Party of British Columbia,mable.elmore.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Elmore-Mable,legislature,constituency,"6106 Fraser St., Vancouver, BC V5W 3A1"
Vancouver-Kingsway,MLA,Adrian Dix,Adrian,Dix,,New Democratic Party of British Columbia,adrian.dix.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Dix-Adrian,legislature,constituency,"5022 Joyce St., Vancouver, BC V5R 4G6"
Vancouver-Langara,MLA,Michael Lee,Michael,Lee,,British Columbia Liberal Party,michael.lee.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Lee-Michael,legislature,constituency,"6615 Main Street, Vancouver, BC V5X 3H3"
Vancouver-Mount Pleasant,MLA,Melanie Mark,Melanie,Mark,,New Democratic Party of British Columbia,melanie.mark.mla@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Mark-Melanie,legislature,constituency,"1070-1641 Commercial Dr., Vancouver, BC V5L 3Y3"
Vancouver-Point Grey,MLA,David Eby,David,Eby,,New Democratic Party of British Columbia,david.eby.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Eby-David,legislature,constituency,"2909 West Broadway, Vancouver, BC V6K 2G6"
Vancouver-Quilchena,MLA,Andrew Wilkinson,Andrew,Wilkinson,,British Columbia Liberal Party,andrew.wilkinson.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Wilkinson-Andrew,legislature,constituency,"5640 Dunbar Street, Vancouver, BC V6N 1W7"
Vancouver-West End,MLA,Spencer Chandra Herbert,Spencer Chandra,Herbert,,New Democratic Party of British Columbia,s.chandraherbert.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/ChandraHerbert-Spencer,legislature,constituency,"923 Denman St., Vancouver, BC V6G 2L9"
Vernon-Monashee,MLA,Eric Foster,Eric,Foster,,British Columbia Liberal Party,eric.foster.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Foster-Eric,legislature,constituency,"3209 - 31st Ave., Vernon, BC V1T 2H2"
Victoria-Beacon Hill,MLA,Carole James,Carole,James,,New Democratic Party of British Columbia,carole.james.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/James-Carole,legislature,constituency,"1084 Fort St., Victoria, BC V8V 3K4"
Victoria-Swan Lake,MLA,Rob Fleming,Rob,Fleming,,New Democratic Party of British Columbia,rob.fleming.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Fleming-Rob,legislature,constituency,"1020 Hillside Ave., Victoria, BC V8T 2A3"
West Vancouver-Capilano,MLA,Ralph Sultan,Ralph,Sultan,,British Columbia Liberal Party,ralph.sultan.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Sultan-Ralph,legislature,constituency,"409 - 545 Clyde Ave., West Vancouver, BC V7T 1C5"
West Vancouver-Sea to Sky,MLA,Jordan Sturdy,Jordan,Sturdy,,British Columbia Liberal Party,jordan.sturdy.MLA@leg.bc.ca,https://www.leg.bc.ca/learn-about-us/members/41st-Parliament/Sturdy-Jordan,legislature,constituency,"6650 Royal Avenue, West Vancouver, BC V7W 2B8"
