District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube,Office type,Address,Phone,Fax
Halifax Armdale,MLA,Honourable Lena Metlege Diab,Honourable Lena Metlege,Diab,,Nova Scotia Liberal Party,info@lenadiab.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/lena-m.-diab,,,,,,,constituency,,1 902 455-1610,
Halifax Atlantic,MLA,Brendan Maguire,Brendan,Maguire,,Nova Scotia Liberal Party,brendan@brendanmaguire.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/brendan-o.-maguire,,,,,,,constituency,,1 902 444-0147,
Halifax Chebucto,MLA,Gary Burrill,Gary,Burrill,,Nova Scotia New Democratic Party,garyburrillmla@gmail.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/gary-burrill,,,,,,,constituency,,1 902 454-8365,
Halifax Citadel-Sable Island,MLA,Labi Kousoulis,Labi,Kousoulis,,Nova Scotia Liberal Party,labi@labimla.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/labi-kousoulis,,,,,,,constituency,,1 902 444-8200,
Halifax Needham,MLA,Lisa Roberts,Lisa,Roberts,,Nova Scotia New Democratic Party,lisarobertsmla@gmail.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/lisa-roberts,,,,,,,constituency,,1 902 455-7300,
Hammonds Plains-Lucasville,MLA,Ben Jessome,Ben,Jessome,,Nova Scotia Liberal Party,jessomeben@gmail.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/ben-jessome,,,,,,,constituency,,1 902 404-9900,
Hants East,MLA,Honourable Margaret Miller,Honourable Margaret,Miller,,Nova Scotia Liberal Party,margaretmillermla@bellaliant.net,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/margaret-miller,,,,,,,constituency,,1 902 883-3465,
Hants West,MLA,Honourable Chuck Porter,Honourable Chuck,Porter,,Nova Scotia Liberal Party,chuck@chuckporter.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/chuck-porter,,,,,,,constituency,,1 902 798-5779,
Inverness,MLA,Allan MacMaster,Allan,MacMaster,,Progressive Conservative Association of Nova Scotia,mlamacmaster@bellaliant.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/allan-macmaster,,,,,,,constituency,,1 902 258-2216,
Kings North,MLA,John Lohr,John,Lohr,,Progressive Conservative Association of Nova Scotia,johnlohrmla@gmail.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/john-.-lohr,,,,,,,constituency,,1 902 365-3420,
Kings South,MLA,Keith Irving,Keith,Irving,,Nova Scotia Liberal Party,keith@irvingmla.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/keith-irving,,,,,,,constituency,,1 902 542-0050,
Kings West,MLA,Honourable Leo A. Glavine,Honourable Leo A.,Glavine,,Nova Scotia Liberal Party,leoglavinemla@leoglavine.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/leo-glavine,,,,,,,constituency,,1 902 765-4083,
Lunenburg,MLA,Honourable Suzanne Lohnes-Croft,Honourable Suzanne,Lohnes-Croft,,Nova Scotia Liberal Party,lunenburgmla@eastlink.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/suzanne-lohnes-croft,,,,,,,constituency,,1 902 531-3095,
Lunenburg West,MLA,Honourable Mark Furey,Honourable Mark,Furey,,Nova Scotia Liberal Party,markfurey.mla@eastlink.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/mark-furey,,,,,,,constituency,,1 902 530-3883,
Northside-Westmount,MLA,Murray Ryan,Murray,Ryan,,Progressive Conservative Association of Nova Scotia,mla@murrayryan.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/murray-ryan,,,,,,,constituency,,1 902 794-1030,
Pictou Centre,MLA,Honourable Pat Dunn,Honourable Pat,Dunn,,Progressive Conservative Association of Nova Scotia,patdunnmla@bellaliant.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/patrick-dunn,,,,,,,constituency,,1 902 752-3646,
Pictou East,MLA,Tim Houston,Tim,Houston,,Progressive Conservative Association of Nova Scotia,pictoueastamanda@gmail.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/tim-houston,,,,,,,constituency,,1 902 695-3582,
Pictou West,MLA,Karla MacFarlane,Karla,MacFarlane,,Progressive Conservative Association of Nova Scotia,pictouwestmla@bellaliant.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/karla-macfarlane,,,,,,,constituency,,1 902 485-8958,
Preston-Dartmouth,MLA,Honourable Keith Colwell,Honourable Keith,Colwell,,Nova Scotia Liberal Party,keithcolwell@eastlink.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/keith-colwell,,,,,,,constituency,,1 902 433-1494,
Queens-Shelburne,MLA,Kim Masland,Kim,Masland,,Progressive Conservative Association of Nova Scotia,Kim.maslandmla@gmail.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/kim-masland,,,,,,,constituency,,1 902 354-5470,
Sackville-Beaver Bank,MLA,Brad Johns,Brad,Johns,,Progressive Conservative Association of Nova Scotia,mlabradjohns@gmail.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/brad-bj-johns,,,,,,,constituency,,1 902 865-6467,
Sackville-Cobequid,MLA,Steve Craig,Steve,Craig,,Progressive Conservative Association of Nova Scotia,Steve.Craig@novascotia.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/steve-craig,,,,,,,constituency,,1 902 864-6271,
Sydney River-Mira-Louisbourg,MLA,Brian Comer,Brian,Comer,,Progressive Conservative Association of Nova Scotia,Brian.Comer@novascotia.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/brian-comer,,,,,,,constituency,,1 902 564-8679,
Sydney-Whitney Pier,MLA,Honourable Derek Mombourquette,Honourable Derek,Mombourquette,,Nova Scotia Liberal Party,info@mombourquette.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/derek-mombourquette,,,,,,,constituency,,1 902 562-8870,
Timberlea-Prospect,MLA,Iain Rankin,Iain,Rankin,,Nova Scotia Liberal Party,info@iainrankin.ca,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/iain-rankin,,,,,,,constituency,,1 902 404-7036,
Truro-Bible Hill-Millbrook-Salmon River,MLA,Dave Ritcey,Dave,Ritcey,,Progressive Conservative Association of Nova Scotia,mlaritcey@bellaliant.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/dave-ritcey,,,,,,,constituency,,1 902 897-0884,
Victoria-The Lakes,MLA,Keith Bain,Keith,Bain,,Progressive Conservative Association of Nova Scotia,keithbainmla@bellaliant.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/keith-bain,,,,,,,constituency,,1 902 736-0301,
Waverley-Fall River-Beaver Bank,MLA,Bill Horne,Bill,Horne,,Nova Scotia Liberal Party,billhornemla@gmail.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/bill-horne,,,,,,,constituency,,1 902 576-3411,
Yarmouth,MLA,Honourable Zach Churchill,Honourable Zach,Churchill,,Nova Scotia Liberal Party,ca@zachchurchill.com,https://nslegislature.ca/sites/all/themes/ns_leg/logo.png,https://nslegislature.ca/members/profiles/zach-churchill,,,,,,,constituency,,1 902 742-4444,
