District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube,Office type,Address,Phone,Fax
Georgetown-St. Peters,MLA,Steven Myers,Steven,Myers,,,samyers@assembly.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/opposition/steven_myers_scaled.jpg?2118,http://www.assembly.pe.ca/index.php3?number=1028674,,,,,,,legislature,,1 902 368-4360,
Kellys Cross-Cumberland,MLA,Peter Bevan-Baker,Peter,Bevan-Baker,,,psbevanbaker@assembly.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/65th_ga/peter_bevan_baker_scaled.jpg?6394,http://www.assembly.pe.ca/index.php3?number=1028688,,,,,,,legislature,,1 902 620-3977,
Kensington-Malpeque,MLA,Matthew MacKay,Matthew,MacKay,,,mmackay@assembly.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/opposition/matthew_mackay_scaled.jpg?809,http://www.assembly.pe.ca/index.php3?number=1028691,,,,,,,legislature,,1 902 368-4360,
Montague-Kilmuir,MLA,Allen F. Roach,Allen F.,Roach,,,afroach@assembly.pe.ca,http://www.gov.pe.ca/photos/sites/infopei/nick/allen_roach_medium.jpg?7983,http://www.assembly.pe.ca/index.php3?number=1028672,,,,,,,legislature,,1 902 620-3865,
Morell-Mermaid,MLA,Sidney MacEwen,Sidney,MacEwen,,,smacewen@assembly.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/opposition/sidney_macewen_scaled.jpg?5968,http://www.assembly.pe.ca/index.php3?number=1028678,,,,,,,legislature,,1 902 368-4360,
O'Leary-Inverness,MLA,Robert L. Henderson,Robert L.,Henderson,,,rlhenderson@gov.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/65th_ga/robert_henderson_scaled.jpg?340,http://www.assembly.pe.ca/index.php3?number=1028696,,,,,,,legislature,,1 902 368-4820,
Rustico-Emerald,MLA,Bradley G. Trivers,Bradley G.,Trivers,,,bgtrivers@assembly.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/opposition/bradtrivers_scaled.jpg?7276,http://www.assembly.pe.ca/index.php3?number=1028689,,,,,,,legislature,,1 902 368-4360,
Souris-Elmira,MLA,Colin LaVie,Colin,LaVie,,,crlavie@assembly.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/opposition/colinlavie_scaled.jpg?7737,http://www.assembly.pe.ca/index.php3?number=1028673,,,,,,,legislature,,1 902 368-4360,
Stratford-Kinlock,MLA,James Aylward,James,Aylward,,,jsjaylward@assembly.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/opposition/jamesaylward_scaled.jpg?9715,http://www.assembly.pe.ca/index.php3?number=1028677,,,,,,,legislature,,1 902 368-4360,
Summerside-St. Eleanors,MLA,Tina Mundy,Tina,Mundy,,,tmmundy@gov.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/65th_ga/tina_mundy_scaled.jpg?7394,http://www.assembly.pe.ca/index.php3?number=1028693,,,,,,,legislature,,1 902 368-6520,
Summerside-Wilmot,MLA,Chris Palmer,Chris,Palmer,,,clpalmer@gov.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/chris_palmer.jpg?4049,http://www.assembly.pe.ca/index.php3?number=1055220,,,,,,,legislature,,1 902 368-4230,
Tignish-Palmer Road,MLA,Hal Perry,Hal,Perry,,,jhperry@gov.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/65th_ga/hal_perry_scaled.jpg?6233,http://www.assembly.pe.ca/index.php3?number=1028698,,,,,,,legislature,,1 902 368-4343,
Tracadie-Hillsborough Park,MLA,Francis (Buck) Watts,Francis (Buck),Watts,,,,,http://www.assembly.pe.ca/speaker,,,,,,
Tyne Valley-Linkletter,MLA,Paula Biggar,Paula,Biggar,,,pjbiggar@gov.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/65th_ga/paula_biggar_scaled.jpg?2023,http://www.assembly.pe.ca/index.php3?number=1028694,,,,,,
Vernon River-Stratford,MLA,Alan McIsaac,Alan,McIsaac,,,jamcisaac@assembly.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/65th_ga/alan_mcisaac_scaled.jpg?5267,http://www.assembly.pe.ca/index.php3?number=1028676,,,,,,,legislature,,1 902 368-4345,
West Royalty-Springvale,MLA,Bush Dumville,Bush,Dumville,,,sfdumville@assembly.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/65th_ga/bush_dumville_scaled.jpg?9472,http://www.assembly.pe.ca/index.php3?number=1028686,,,,,,
York-Oyster Bed,MLA,H. Wade MacLauchlan,H. Wade,MacLauchlan,,,premier@gov.pe.ca,http://www.assembly.pe.ca/photos/sites/leg_new/mla_photos/65th_ga/premier_maclauchlan_scaled.jpg?7958,http://www.assembly.pe.ca/index.php3?number=1052801,,,,,,,legislature,,1 902 368-4400,
